Closest hit header,Kingdom,Phylum,Class,Order,Family,Genus,Simple names,Total reads,Percent of dataset,Vogue1A-01-003,Vogue1A-01-004,Vogue1A-01-005,Vogue1A-01-006,Vogue1A-01-007,Vogue1A-01-008,Vogue1A-01-009,Vogue1A-01-010,Vogue1A-01-011,Vogue1A-01-012,Vogue1A-01-013,Vogue1A-01-014,Vogue1A-01-015,Vogue1A-01-016,Vogue1A-01-017,Vogue1A-01-018,Vogue1A-01-019,Vogue1A-01-020,Vogue1A-01-021,Vogue1A-01-022,Vogue1A-01-023,Vogue1A-01-024,Vogue1A-01-025,Vogue1A-01-026,Vogue1A-01-027,Vogue1A-01-028,Vogue1A-01-029,Vogue1A-01-030,Vogue1A-01-031,Vogue1A-01-032,Vogue1A-01-033,Vogue1A-01-034,Vogue1A-01-035,Vogue1A-01-036,Vogue1A-01-037,Vogue1A-01-038,Vogue1A-01-039,Vogue1A-01-040,Vogue1A-01-041,Vogue1A-01-042,Vogue1A-01-043,Vogue1A-01-044,Vogue1A-01-045,Vogue1A-01-046,Vogue1A-01-047,Vogue1A-01-048,Vogue1A-01-049,Vogue1A-01-050,Vogue1A-01-051,Vogue1A-01-052,Vogue1A-01-053,Vogue1A-01-054,Vogue1A-01-055,Vogue1A-01-057,Vogue1A-01-059,Vogue1A-01-060,Vogue1A-01-061,Vogue1A-01-062,Vogue1A-01-063,Vogue1A-01-064,Vogue1A-01-065,Vogue1A-01-066,Vogue1A-01-067,Vogue1A-01-068,Vogue1A-01-069,Vogue1A-01-070,Vogue1A-01-071,Vogue1A-01-072,Vogue1A-01-073,Vogue1A-01-074,Vogue1A-01-075,Vogue1A-01-076,Vogue1A-01-077,Vogue1A-01-078,Vogue1A-01-079,Vogue1A-01-080,Vogue1A-01-081,Vogue1A-01-082,Vogue1A-01-083,Vogue1A-01-084,Vogue1A-01-085,Vogue1A-01-086,Vogue1A-01-087,Vogue1A-01-088,Vogue1A-01-089,Vogue1A-01-090,Vogue1A-01-091,Vogue1A-01-092,Vogue1A-01-093,Vogue1A-01-094,Vogue1A-01-095,Vogue1A-01-096,Vogue1A-01-097,Vogue1A-01-098,Vogue1A-01-099,Vogue1A-01-100,Vogue1A-01-101,Vogue1A-01-102,Vogue1A-01-103,Vogue1A-01-104,Vogue1A-01-105,Vogue1A-01-106,Vogue1A-01-107,Vogue1A-01-108,Vogue1A-01-109,Vogue1A-01-110,Vogue1A-01-111,Vogue1A-01-112,Vogue1A-01-113,Vogue1A-01-114,Vogue1A-01-115,Vogue1A-01-116,Vogue1A-01-117,Vogue1A-01-118,Vogue1A-01-119,Vogue1A-01-120,Vogue1A-01-121,Vogue1A-01-122,Vogue1A-01-123,Vogue1A-01-124,Vogue1A-01-125,Vogue1A-01-126,Vogue1A-01-127,Vogue1A-01-128,Vogue1A-01-129,Vogue1A-01-130,Vogue1A-01-131,Vogue1A-01-132,Vogue1A-01-133,Vogue1A-01-134,Vogue1A-01-135,Vogue1A-01-136,Vogue1A-01-137,Vogue1A-01-138,Vogue1A-01-139,Vogue1A-01-140,Vogue1A-01-141,Vogue1A-01-142,Vogue1A-01-143,Vogue1A-01-144,Vogue1A-01-145,Vogue1A-01-146,Vogue1A-01-147,Vogue1A-01-148,Vogue1A-01-149,Vogue1A-01-150,Vogue1A-01-151,Vogue1A-01-152,Vogue1A-01-154,Vogue1A-01-155,Vogue1A-01-156,Vogue1A-01-157,Vogue1A-01-158,Vogue1A-01-159,Vogue1A-01-160,Vogue1A-01-161,Vogue1A-01-162,Vogue1A-01-163,Vogue1A-01-164,Vogue1A-01-166,Vogue1A-01-167,Vogue1A-01-168,Vogue1A-01-169,Vogue1A-01-170,Vogue1A-01-171,Vogue1A-01-172,Vogue1A-01-173,Vogue1A-01-174,Vogue1A-01-175,Vogue1A-01-176,Vogue1A-01-177,Vogue1A-01-179,Vogue1A-01-180,Vogue1A-01-181,Vogue1A-01-183,Vogue1A-01-184,Vogue1A-01-185,Vogue1A-01-186,Vogue1A-01-187,Vogue1A-01-188,Vogue1A-01-189,Vogue1A-01-190,Vogue1A-01-191,Vogue1A-01-192,Vogue1A-01-193,Vogue1A-01-194,Vogue1A-01-195,Vogue1A-01-196,Vogue1A-01-197,Vogue1A-01-198,Vogue1A-01-199,Vogue1A-01-200,Vogue1A-01-201,Vogue1A-01-202,Vogue1A-01-203,Vogue1A-01-204,Vogue1A-01-205,Vogue1A-01-206,Vogue1A-01-207,Vogue1A-01-208,Vogue1A-01-209,Vogue1A-01-210,Vogue1A-01-211,Vogue1A-01-212,Vogue1A-01-213,Vogue1A-01-214,Vogue1A-01-215,Vogue1A-01-216,Vogue1A-01-217,Vogue1A-01-218,Vogue1A-01-219,Vogue1A-01-220,Vogue1A-01-221,Vogue1A-01-222,Vogue1A-01-223,Vogue1A-01-224,Vogue1A-01-225,Vogue1A-01-226,Vogue1A-01-227,Vogue1A-01-228,Vogue1A-01-229,Vogue1A-01-230,Vogue1A-01-231,Vogue1A-01-232,Vogue1A-01-233,Vogue1A-01-234,Vogue1A-01-235,Vogue1A-01-236,Vogue1A-01-237,Vogue1A-01-238,Vogue1A-01-239,Vogue1A-01-240,Vogue1A-01-241,Vogue1A-01-242,Vogue1A-01-243,Vogue1A-01-244,Vogue1A-01-245,Vogue1A-01-246,Vogue1A-01-247,Vogue1A-01-248,Vogue1A-01-249,Vogue1A-01-250,Vogue1A-01-251,Vogue1A-01-252,Vogue1A-01-253,Vogue1A-01-254,Vogue1A-01-255,Vogue1A-01-256,Vogue1A-01-257,Vogue1A-01-258,Vogue1A-01-259,Vogue1A-01-260,Vogue1A-01-261,Vogue1A-01-262,Vogue1A-01-263,Vogue1A-01-264,Vogue1A-01-265,Vogue1A-01-266,Vogue1A-01-267,Vogue1A-01-268,Vogue1A-01-269,Vogue1A-01-270,Vogue1A-01-271,Vogue1A-01-272,Vogue1A-01-273,Vogue1A-01-274,Vogue1A-01-275,Vogue1A-01-276,Vogue1A-01-277,Vogue1A-01-278,Vogue1A-01-279,Vogue1A-01-280,Vogue1A-01-281,Vogue1A-01-282,Vogue1A-01-283,Vogue1A-01-284,Vogue1A-01-285,Vogue1A-01-286,Vogue1A-01-287,Vogue1A-01-288,Vogue1A-01-289,Vogue1A-01-290,Vogue1A-01-291,Vogue1A-01-292,Vogue1A-01-293,Vogue1A-01-294,Vogue1A-01-295,Vogue1A-01-296,Vogue1A-01-297,Vogue1A-01-298,Vogue1A-01-300,Vogue1A-01-301,Vogue1A-01-302,Vogue1A-01-303,Vogue1A-01-304,Vogue1A-01-305,Vogue1A-01-306,Vogue1A-01-307,Vogue1A-01-308,Vogue1A-01-309,Vogue1A-01-310,Vogue1A-01-311,Vogue1A-01-312,Vogue1A-01-313,Vogue1A-01-314,Vogue1A-01-316,Vogue1A-01-317,Vogue1A-01-318,Vogue1A-01-319,Vogue1A-01-320
b12598 FJ360434 Atopobium vaginae DSM15829,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,Atopobium vaginae,26640,0.868,0,1252,1,2,0,0,9,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,14,0,2,14,0,164,3,0,0,0,0,18,1,0,3,1072,0,0,0,14,626,14,0,13,1,228,0,0,90,0,0,281,0,1,0,0,0,100,0,0,2,159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,1,0,1,0,1,0,0,48,0,1,0,0,0,3,0,0,0,0,0,0,34,1,0,1183,0,6,83,9,1,12,3,0,70,1,0,7,1,0,1,0,22,0,181,1,20,15,0,0,0,52,1,1,7,141,3,6703,4,2,0,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,79,0,0,0,1,111,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,22,0,8,5,50,0,0,0,21,0,2,204,0,0,1478,0,2,115,0,0,23,3,3222,2,2,0,9,5,3,98,158,265,1,19,0,0,0,0,0,0,0,0,1,3,1,1,0,12,26,770,29,3,0,0,1,100,0,0,4,73,0,4,4,3926,11,8,1,42,3,8,2,6,4,46,3,0,0,60,0,64,0,0,0,0,0,25,1990,2,0,4,1,0,0,0,0,0,38,542,2,1,1,14,0,3,0,1,0
b3386 AY123673 Gardnerella vaginalis ATCC 14018,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis Group C,25096,0.817,6,82,13,10,0,0,1812,2,0,0,5,2,2,14,39,5,0,13,19,0,18,0,9,24,0,4,0,0,11,3,4,13,19,0,21,9,0,0,0,0,2,6,0,801,216,0,0,0,18,27,9,0,1,1,5,0,1,3499,0,0,2378,0,28,6,0,0,153,0,0,64,150,1,0,0,0,0,0,0,116,0,3,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7,2,2551,0,5,10,0,3,40,18,9,0,0,48,0,11,396,8,0,0,8,1,11,1,2,9,21,7,2,1,123,27,3,48,30,1,1,0,61,0,0,0,1,17,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,40,0,0,2,0,0,0,0,1,1,15,0,21,1,25,0,0,13,48,2,0,0,3,0,2,1,0,0,0,0,0,0,11,4,0,9,0,1,0,39,32,4,2,43,13,52,0,0,0,0,0,0,8,0,0,1,0,2,14,0,1,15,0,4493,127,3,1,2,3,0,2,7,94,4,1,0,12,0,0,0,0,1,2,0,0,0,0,0,1,38,7,8,5,3,0,3,44,2,6,2,4,1,2,8,21,14,10,290,20,1,26,5,6,43,79,4,0,1,54,0,62,0,0,0,0,4,0,11,1,0,4,1,0,0,5,1,1,656,4612,161,455,8,1,0,9,4,2,71
b17634 AB547589 Porphyromonas uenonis JCM 13868,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas uenonis,20526,0.668,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,54,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,180,0,0,0,0,2,76,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,53,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1,0,0,0,0,0,0,0,77,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,1,0,0,0,0,6,0,0,0,459,0,1,0,0,0,10,0,0,13355,1,0,2,1,26,1,2,0,0,0,0,3,2036,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,1,1,3,12,1,3,7,2,3,13,0,2,7,904,0,0,0,245,1,1,0,8,0,1,0,0,1,17,0,3,0,4,0,13,2,1,0,0,1,23,0,0,0,0,1,18,2,2,0,1,3,2,2,0,3,1939,0,1,3,0,0
b10025 AM419467 Alloscardovia omnicolens LMG 23791,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia omnicolens,17741,0.578,0,34,2,178,0,0,18,0,0,0,1,23,133,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,9,1,0,0,0,3,1,0,1,30,8,0,3,0,5,1,0,15,5,0,0,369,0,3,0,0,1,3,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,3,1,9,0,7,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,6,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,15,15105,5,2,40,9,3,1,0,4,0,3,2,1,3,1,1267,0,0,0,0,3,0,13,0,0,1,0,0,9,1,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,5,5,3,11,0,0,0,0,0,0,0
b827 AF245669 Enterococcus rattus 2705-87 2705-87,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus rattus,15155,0.494,0,0,7,0,1,265,2,0,1,1,1,1,4,0,3,1,0,0,1,2,762,3,13367,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,4,0,79,5,3,0,0,0,0,0,0,0,1,44,0,0,0,0,113,155,4,0,0,1,0,0,0,10,0,17,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,3,0,9,0,28,80,19,0,0,0,20,0,61,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b17632 AB547591 Prevotella amnii JCM 14753,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella amnii,15115,0.492,0,3071,7,0,0,0,0,0,3,0,6,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,294,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,482,0,2,0,1,0,8,4,0,0,0,0,8,1,0,0,2,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,96,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,257,0,2,4132,0,1,1,0,1,601,0,0,0,1,12,0,1,0,9,3,1,3,317,442,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,4,0,0,0,0,0,2,0,3,0,0,4,3,2705,7,8,0,26,0,4,2,5,1,42,1,0,0,25,0,43,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,1,2,0,0,0,5,1,0,1
b278 AF240566 Bifidobacterium breve JCM1192,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,12837,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,1,1,2,0,0,0,0,218,2,0,1,1,0,0,1,2,13,5911,0,0,0,0,0,0,20,0,0,16,1,0,1,0,2,45,0,0,3332,0,0,0,0,4,0,31,0,0,0,1,0,0,0,938,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,13,0,3,0,0,26,0,0,0,0,0,21,0,0,0,0,0,8,0,0,4,0,0,0,0,4,0,1,0,0,1,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,3,3,0,0,3,4,0,0,13,2,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1025 AF440233 Prevotella bivia ATCC 29303,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bivia,12742,0.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,3,0,10,1,0,0,1,0,2,3,1,1,0,0,0,0,0,0,1,194,0,0,0,0,29,9,4,0,0,0,0,0,1,0,0,4,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,571,0,0,1,0,0,33,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,150,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,69,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,4,0,0,0,0,4,7,9607,4,5,24,657,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,101,1,643,1,0,1,1,2,0,2,0,0,393,46,0,15,0,0,1,0,0,0,0
"b16242 FJ588292 Clostridia sp. NC039 6295_C07_058_027, 027_cl5_cn1",Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales,Clostridium,Clostridia sp. (phylogenetically BVAB2),11712,0.381,0,621,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,17,0,0,5,4,1,30,23,1,0,0,0,7,0,0,37,331,0,0,0,122,25,26,4,20,5,9,1,5,22,3,1,244,0,8,0,2,20,121,0,0,1,8,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,8,0,0,0,1,662,11,1,0,1,0,244,4,10,0,0,78,0,10,87,4,0,2,50,0,0,0,1,31,0,1,0,0,114,0,0,0,1,1,0,2,19,8,0,4,23,44,0,0,0,1,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,2,5,0,0,0,0,326,0,0,8,73,0,0,11,121,51,0,9,1,151,0,0,3,15,0,0,0,0,0,2,0,37,1,0,0,0,35,0,0,0,2,8,0,0,0,118,6,0,337,0,1,145,3,29,641,1,1,683,0,8,1,2,10,4,0,0,9,669,140,2,12,0,0,2,57,0,0,2,0,7,8,1212,2,31,3,255,66,55,8,3,2,2,3,2,2,1,7,0,0,0,237,1,0,0,12,0,0,5,0,0,54,1,3,3,2,0,9,0,3,2,8,472,63,1049,1,2,5,0,81,0,5,0,0,77,135,1,4,0,868,0,2,0,6,1
b12837 NC_012791 Variovorax paradoxus S110 ,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus,11402,0.371,39,1,3663,3399,124,318,1,76,4,5,798,2,455,14,13,80,10,0,4,21,760,198,26,27,0,0,0,0,1,0,0,1,9,3,0,9,0,0,0,0,0,0,34,5,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,4,0,4,0,4,0,0,13,6,6,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,22,10,0,15,1,5,4,9,77,0,37,2,38,3,1,3,11,0,10,0,7,0,1,0,0,16,398,0,0,5,5,7,5,0,0,0,123,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,3,0,6,2,4,74,4,0,0,1,2,6,48,9,0,2,38,2,24,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,2,0,79,0,0,0,6,0,16,0,1,0,0,2,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
b6839 AY691278 Prevotella buccalis ATCC 35310,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccalis,8739,0.285,0,671,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,4,0,204,176,1,0,0,0,0,0,0,1,0,0,0,0,254,1,5,0,2,0,10,0,0,28,62,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,0,0,0,28,0,0,0,14,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,1,0,0,1,0,30,0,0,0,1193,1,0,204,0,2,1,1,0,140,0,1,1,0,0,0,7,0,0,0,0,0,91,0,2,74,12,2,2,4,0,0,0,0,3,19,1,1,20,18,764,2644,1,1,11,0,0,9,0,13,1,128,0,0,0,1146,6,2,0,6,0,2,2,1,0,23,0,0,0,5,0,1,1,0,0,0,20,55,9,0,0,0,1,22,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
b3424 AY123663 Pseudomonas putida ATCC 12633,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,7433,0.242,1,0,4158,1131,105,72,0,0,0,21,23,0,32,1,1,58,1,0,1,6,52,167,12,0,0,0,0,0,6,0,0,0,6,33,0,4,0,0,0,0,0,0,41,6,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,4,0,7,0,16,0,41,0,0,0,0,9,2,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,25,1,0,64,0,0,0,0,2,7,28,15,525,0,4,17,18,6,0,2,8,0,46,0,3,6,57,1,0,29,114,0,1,0,0,0,17,0,0,2,0,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,12,0,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0,9,1,0,11,1,0,0,23,62,18,1,0,0,1,0,33,124,2,6,61,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b15882 NZ_ACKS01000084 Prevotella bergensis DSM 17361,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella bergensis,6343,0.207,0,2717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,38,9,1,0,0,113,2,2,0,12,3,9,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,16,0,1,0,0,2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,16,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123,0,0,11,0,0,2,0,1,2,0,0,71,1,12,0,2,0,0,4,0,1,1593,1,0,1,1,3,0,1,0,0,0,0,0,9,2,0,0,5,25,632,0,2,9,0,0,10,1,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,109,0,1,0,0,0
b18700 AEXU01000043 Lactobacillus delbrueckii subsp. lactis DSM 20072,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus delbrueckii,5344,0.174,0,0,1676,0,0,0,0,0,5,0,2,1,0,0,2,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3604,12,9,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
